bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
hr1,115,hr1-115,hr,https://api.propublica.org/congress/v1/115/bills/hr1.json,An Act to provide for reconciliation pursuant to titles II and V of the concurrent resolution on the budget for fiscal year 2018.,Rep.,B000755,Kevin Brady,TX,R,https://www.congress.gov/bill/115th-congress/house-bill/1,https://www.govtrack.us/congress/bills/115/hr1,2017-11-02,True,2017-12-20,2017-12-02,2017-12-22,,24,,24,House Ways and Means Committee,"['HSII', 'HSIF', 'HSWM', 'SSFI']",Taxation
hr2,115,hr2-115,hr,https://api.propublica.org/congress/v1/115/bills/hr2.json,Agriculture Improvement Act of 2018,Rep.,C001062,K. Michael Conaway,TX,R,https://www.congress.gov/bill/115th-congress/house-bill/2,https://www.govtrack.us/congress/bills/115/hr2,2018-04-12,True,2018-07-18,2018-06-28,2018-12-20,,0,,,House Agriculture Committee,"['HSPW', 'HSSY', 'HSGO', 'HSII', 'HSFA', 'HSBA', 'HSIF', 'HSED', 'HSAG']",Agriculture and Food
hr3,115,hr3-115,hr,https://api.propublica.org/congress/v1/115/bills/hr3.json,Spending Cuts to Expired and Unnecessary Programs Act,Rep.,M001165,Kevin McCarthy,CA,R,https://www.congress.gov/bill/115th-congress/house-bill/3,https://www.govtrack.us/congress/bills/115/hr3,2018-05-09,True,2018-06-07,,,,16,,16,Senate Appropriations Committee,"['SSAP', 'HSAP']",Economics and Public Finance
hr4,115,hr4-115,hr,https://api.propublica.org/congress/v1/115/bills/hr4.json,FAA Reauthorization Act of 2018,Rep.,S001154,Bill Shuster,PA,R,https://www.congress.gov/bill/115th-congress/house-bill/4,https://www.govtrack.us/congress/bills/115/hr4,2018-04-13,True,2018-04-27,,,,15,7,8,House Natural Resources Committee,['HSPW'],Transportation and Public Works
hr5,115,hr5-115,hr,https://api.propublica.org/congress/v1/115/bills/hr5.json,Regulatory Accountability Act of 2017,Rep.,G000289,Robert W. Goodlatte,VA,R,https://www.congress.gov/bill/115th-congress/house-bill/5,https://www.govtrack.us/congress/bills/115/hr5,2017-01-03,True,2017-01-11,,,,25,1,24,Senate Small Business and Entrepreneurship Committee,"['SSSB', 'SSGA', 'HSJU', 'HSSM', 'HSGO']",Government Operations and Politics
hr6,115,hr6-115,hr,https://api.propublica.org/congress/v1/115/bills/hr6.json,SUPPORT for Patients and Communities Act,Rep.,W000791,Greg Walden,OR,R,https://www.congress.gov/bill/115th-congress/house-bill/6,https://www.govtrack.us/congress/bills/115/hr6,2018-06-13,True,2018-06-22,2018-09-17,2018-10-24,,16,6,10,House Ways and Means Committee,['HSIF'],Health
hr7,115,hr7-115,hr,https://api.propublica.org/congress/v1/115/bills/hr7.json,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017,Rep.,S000522,Christopher H. Smith,NJ,R,https://www.congress.gov/bill/115th-congress/house-bill/7,https://www.govtrack.us/congress/bills/115/hr7,2017-01-13,True,2017-01-24,,,,101,1,100,Senate Finance Committee,"['SSFI', 'HSIF', 'HSJU', 'HSWM']","Civil Rights and Liberties, Minority Issues"
hr8,115,hr8-115,hr,https://api.propublica.org/congress/v1/115/bills/hr8.json,Water Resources Development Act of 2018,Rep.,S001154,Bill Shuster,PA,R,https://www.congress.gov/bill/115th-congress/house-bill/8,https://www.govtrack.us/congress/bills/115/hr8,2018-05-18,True,2018-06-06,,,,32,18,14,House Transportation and Infrastructure Committee,['HSPW'],Water Resources Development
hr10,115,hr10-115,hr,https://api.propublica.org/congress/v1/115/bills/hr10.json,Financial CHOICE Act of 2017,Rep.,H001036,Jeb Hensarling,TX,R,https://www.congress.gov/bill/115th-congress/house-bill/10,https://www.govtrack.us/congress/bills/115/hr10,2017-04-26,True,2017-06-08,,,,40,,40,"Senate Banking, Housing, and Urban Affairs Committee","['SSBK', 'HSBA', 'HSED', 'HSBU', 'HSRU', 'HSPW', 'HSGO', 'HSJU', 'HSWM', 'HSAG']",Finance and Financial Sector
hr12,115,hr12-115,hr,https://api.propublica.org/congress/v1/115/bills/hr12.json,Voter Empowerment Act of 2017,Rep.,L000287,John Lewis,GA,D,https://www.congress.gov/bill/115th-congress/house-bill/12,https://www.govtrack.us/congress/bills/115/hr12,2017-06-23,True,,,,,186,186,,House Judiciary Committee,['HSHA'],Government Operations and Politics
