bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
hr1,112,hr1-112,hr,https://api.propublica.org/congress/v1/112/bills/hr1.json,,,R000395,Harold Rogers,KY,R,https://www.congress.gov/bill/112th-congress/house-bill/1,https://www.govtrack.us/congress/bills/112/hr1,2011-02-11,,2011-02-19,2011-03-09,,,0,,,House Appropriations; House Budget,[],
hr2,112,hr2-112,hr,https://api.propublica.org/congress/v1/112/bills/hr2.json,Repealing the Job-Killing Health Care Law Act,Rep.,C001046,Eric Cantor,VA,R,https://www.congress.gov/bill/112th-congress/house-bill/2,https://www.govtrack.us/congress/bills/112/hr2,2011-01-05,,2011-01-19,,,,182,,182,House Energy and Commerce; House Education and the Workforce; House Ways and Means; House Judiciary; House Natural Resources; House Rules; House Administration; House Appropriations,[],Health
hr3,112,hr3-112,hr,https://api.propublica.org/congress/v1/112/bills/hr3.json,No Taxpayer Funding for Abortion Act,Rep.,S000522,Christopher H. Smith,NJ,R,https://www.congress.gov/bill/112th-congress/house-bill/3,https://www.govtrack.us/congress/bills/112/hr3,2011-01-20,,2011-05-04,,,,227,12,216,House Judiciary; House Energy and Commerce; House Ways and Means,[],Health
hr4,112,hr4-112,hr,https://api.propublica.org/congress/v1/112/bills/hr4.json,Comprehensive 1099 Taxpayer Protection and Repayment of Exchange Subsidy Overpayments Act of 2011,Rep.,L000517,Dan Lungren,CA,R,https://www.congress.gov/bill/112th-congress/house-bill/4,https://www.govtrack.us/congress/bills/112/hr4,2011-01-12,,2011-03-03,,,,273,37,236,House Ways and Means,[],Taxation
hr5,112,hr5-112,hr,https://api.propublica.org/congress/v1/112/bills/hr5.json,Protecting Access to Healthcare Act,Rep.,G000550,Phil Gingrey,GA,R,https://www.congress.gov/bill/112th-congress/house-bill/5,https://www.govtrack.us/congress/bills/112/hr5,2011-01-24,,2012-03-22,,,,134,3,133,House Judiciary; House Energy and Commerce,[],Health
hr6,112,hr6-112,hr,https://api.propublica.org/congress/v1/112/bills/hr6.json,,,B000589,John A. Boehner,OH,R,https://www.congress.gov/bill/112th-congress/house-bill/6,https://www.govtrack.us/congress/bills/112/hr6,2011-01-03,,,,,,0,,,House Appropriations; House Budget,[],
hr7,112,hr7-112,hr,https://api.propublica.org/congress/v1/112/bills/hr7.json,American Energy and Infrastructure Jobs Act of 2012,Rep.,M000689,John L. Mica,FL,R,https://www.congress.gov/bill/112th-congress/house-bill/7,https://www.govtrack.us/congress/bills/112/hr7,2012-01-31,,,,,,1,,1,House Transportation and Infrastructure,[],Transportation and public works
hr8,112,hr8-112,hr,https://api.propublica.org/congress/v1/112/bills/hr8.json,American Taxpayer Relief Act of 2012,Rep.,C000071,Dave Camp,MI,R,https://www.congress.gov/bill/112th-congress/house-bill/8,https://www.govtrack.us/congress/bills/112/hr8,2012-07-24,,2012-08-01,,,,28,,54,House Ways and Means; House Budget,[],Taxation
hr9,112,hr9-112,hr,https://api.propublica.org/congress/v1/112/bills/hr9.json,Small Business Tax Cut Act,Rep.,C001046,Eric Cantor,VA,R,https://www.congress.gov/bill/112th-congress/house-bill/9,https://www.govtrack.us/congress/bills/112/hr9,2012-03-21,,2012-04-19,,,,42,,42,House Ways and Means; Senate Finance,[],Taxation
hr10,112,hr10-112,hr,https://api.propublica.org/congress/v1/112/bills/hr10.json,Regulations From the Executive in Need of Scrutiny Act of 2011,Rep.,D000603,Geoff Davis,KY,R,https://www.congress.gov/bill/112th-congress/house-bill/10,https://www.govtrack.us/congress/bills/112/hr10,2011-01-20,,2011-12-07,,,,204,2,204,House Judiciary; House Rules; Senate Homeland Security and Governmental Affairs,[],Government operations and politics
