bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
s1,114,s1-114,s,https://api.propublica.org/congress/v1/114/bills/s1.json,Keystone XL Pipeline Approval Act,Sen.,H001061,John Hoeven,ND,R,https://www.congress.gov/bill/114th-congress/senate-bill/1,https://www.govtrack.us/congress/bills/114/s1,2015-01-06,True,2015-02-11,2015-01-29,2015-02-24,,59,6,53,,['HSIF'],Energy
s2,114,s2-114,s,https://api.propublica.org/congress/v1/114/bills/s2.json,A bill to authorize the award of the Medal of Honor to James C. McCloughan for acts of valor during the Vietnam War.,Sen.,S000770,Debbie Stabenow,MI,D,https://www.congress.gov/bill/114th-congress/senate-bill/2,https://www.govtrack.us/congress/bills/114/s2,2016-11-15,False,,,,,1,1,,Senate Armed Services Committee,['SSAS'],Armed Forces and National Security
s3,114,s3-114,s,https://api.propublica.org/congress/v1/114/bills/s3.json,CORE Act,Sen.,C001047,Shelley Moore Capito,WV,R,https://www.congress.gov/bill/114th-congress/senate-bill/3,https://www.govtrack.us/congress/bills/114/s3,2016-11-15,False,,,,,0,,,Senate Finance Committee,['SSFI'],Taxation
s4,114,s4-114,s,https://api.propublica.org/congress/v1/114/bills/s4.json,Protecting Access to Diabetes Supplies Act of 2016,Sen.,C000542,Daniel Coats,IN,R,https://www.congress.gov/bill/114th-congress/senate-bill/4,https://www.govtrack.us/congress/bills/114/s4,2016-11-16,False,,,,,1,1,,Senate Finance Committee,['SSFI'],Health
s5,114,s5-114,s,https://api.propublica.org/congress/v1/114/bills/s5.json,Retirement Security Preservation Act of 2016,Sen.,C000141,Benjamin L. Cardin,MD,D,https://www.congress.gov/bill/114th-congress/senate-bill/5,https://www.govtrack.us/congress/bills/114/s5,2016-11-16,False,,,,,1,,1,Senate Finance Committee,['SSFI'],Taxation
s6,114,s6-114,s,https://api.propublica.org/congress/v1/114/bills/s6.json,We the People Act of 2016,Sen.,U000039,Tom Udall,NM,D,https://www.congress.gov/bill/114th-congress/senate-bill/6,https://www.govtrack.us/congress/bills/114/s6,2016-06-16,False,,,,,31,29,,Senate Rules and Administration Committee,['SSRA'],Government Operations and Politics
s7,114,s7-114,s,https://api.propublica.org/congress/v1/114/bills/s7.json,Steve Gleason Act of 2016,Sen.,V000127,David Vitter,LA,R,https://www.congress.gov/bill/114th-congress/senate-bill/7,https://www.govtrack.us/congress/bills/114/s7,2016-12-01,False,,,,,1,1,,Senate Finance Committee,['SSFI'],Health
s8,114,s8-114,s,https://api.propublica.org/congress/v1/114/bills/s8.json,A bill to provide for the approval of the Agreement for Cooperation Between the Government of the United States of America and the Government of the Kingdom of Norway Concerning Peaceful Uses of Nuclear Energy.,Sen.,C001071,Bob Corker,TN,R,https://www.congress.gov/bill/114th-congress/senate-bill/8,https://www.govtrack.us/congress/bills/114/s8,2016-12-01,True,2016-12-13,2016-12-10,2016-12-15,,1,1,,Senate Foreign Relations Committee,['SSFR'],International Affairs
s9,114,s9-114,s,https://api.propublica.org/congress/v1/114/bills/s9.json,Over-the-Counter Hearing Aid Act of 2016,Sen.,W000817,Elizabeth Warren,MA,D,https://www.congress.gov/bill/114th-congress/senate-bill/9,https://www.govtrack.us/congress/bills/114/s9,2016-12-01,False,,,,,1,,1,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Health
s10,114,s10-114,s,https://api.propublica.org/congress/v1/114/bills/s10.json,Anti-Semitism Awareness Act of 2016,Sen.,S001184,Tim Scott,SC,R,https://www.congress.gov/bill/114th-congress/senate-bill/10,https://www.govtrack.us/congress/bills/114/s10,2016-12-01,True,,2016-12-01,,,4,3,1,House Judiciary Committee,['HSJU'],"Civil Rights and Liberties, Minority Issues"
